,roc_fpr_rf,roc_tpr_rf,roc_threshold_rf
0,0.0,0.0,1.975
1,0.0,0.001953125,0.975
2,0.0,0.0078125,0.96
3,0.0,0.01171875,0.955
4,0.0,0.013671875,0.95
5,0.0,0.01953125,0.94
6,0.0,0.0234375,0.935
7,0.0,0.025390625,0.93
8,0.0,0.029296875,0.925
9,0.0,0.03125,0.92
10,0.0,0.03515625,0.915
11,0.0,0.041015625,0.9
12,0.0,0.048828125,0.895
13,0.0,0.056640625,0.885
14,0.0,0.06640625,0.88
15,0.0,0.068359375,0.875
16,0.0,0.076171875,0.865
17,0.0,0.078125,0.86
18,0.0,0.08203125,0.85
19,0.0,0.083984375,0.845
20,0.0,0.095703125,0.835
21,0.0,0.099609375,0.83
22,0.0,0.1015625,0.825
23,0.0,0.11328125,0.81
24,0.0,0.119140625,0.805
25,0.0,0.126953125,0.795
26,0.00019876764062810574,0.13671875,0.79
27,0.0003975352812562115,0.138671875,0.785
28,0.0003975352812562115,0.142578125,0.78
29,0.0005963029218843172,0.146484375,0.775
30,0.0005963029218843172,0.154296875,0.77
31,0.0005963029218843172,0.16015625,0.765
32,0.0005963029218843172,0.16796875,0.76
33,0.0005963029218843172,0.171875,0.755
34,0.000795070562512423,0.177734375,0.75
35,0.000795070562512423,0.181640625,0.745
36,0.000795070562512423,0.1875,0.74
37,0.000795070562512423,0.197265625,0.735
38,0.000795070562512423,0.205078125,0.73
39,0.000795070562512423,0.208984375,0.725
40,0.000795070562512423,0.2109375,0.72
41,0.000795070562512423,0.220703125,0.715
42,0.000795070562512423,0.2265625,0.71
43,0.000795070562512423,0.23046875,0.705
44,0.000795070562512423,0.2421875,0.7
45,0.0009938382031405286,0.251953125,0.695
46,0.0009938382031405286,0.25390625,0.69
47,0.0011926058437686344,0.2578125,0.685
48,0.0011926058437686344,0.265625,0.68
49,0.0011926058437686344,0.26953125,0.675
50,0.0013913734843967402,0.2734375,0.67
51,0.0013913734843967402,0.279296875,0.665
52,0.0013913734843967402,0.287109375,0.66
53,0.0013913734843967402,0.291015625,0.655
54,0.0013913734843967402,0.30078125,0.65
55,0.0013913734843967402,0.306640625,0.645
56,0.0013913734843967402,0.30859375,0.64
57,0.001590141125024846,0.30859375,0.635
58,0.001590141125024846,0.314453125,0.63
59,0.001590141125024846,0.32421875,0.625
60,0.001590141125024846,0.3359375,0.62
61,0.0019876764062810573,0.34375,0.61
62,0.0019876764062810573,0.3515625,0.605
63,0.0019876764062810573,0.357421875,0.6
64,0.0021864440469091632,0.36328125,0.595
65,0.002385211687537269,0.37109375,0.59
66,0.002385211687537269,0.373046875,0.585
67,0.002385211687537269,0.3828125,0.58
68,0.002385211687537269,0.38671875,0.575
69,0.002385211687537269,0.392578125,0.57
70,0.002385211687537269,0.400390625,0.565
71,0.002385211687537269,0.419921875,0.555
72,0.002583979328165375,0.419921875,0.55
73,0.0027827469687934803,0.423828125,0.545
74,0.0029815146094215863,0.4296875,0.54
75,0.0029815146094215863,0.435546875,0.535
76,0.003180282250049692,0.4453125,0.53
77,0.003379049890677798,0.44921875,0.525
78,0.003379049890677798,0.453125,0.52
79,0.0035778175313059034,0.453125,0.515
80,0.003776585171934009,0.4609375,0.51
81,0.0041741204531902205,0.470703125,0.505
82,0.0041741204531902205,0.478515625,0.495
83,0.0043728880938183265,0.478515625,0.49
84,0.0043728880938183265,0.482421875,0.485
85,0.0045716557344464325,0.490234375,0.48
86,0.0045716557344464325,0.494140625,0.475
87,0.004969191015702644,0.498046875,0.47
88,0.005366726296958855,0.498046875,0.465
89,0.005366726296958855,0.5078125,0.46
90,0.005366726296958855,0.51953125,0.455
91,0.005764261578215067,0.525390625,0.45
92,0.005764261578215067,0.529296875,0.445
93,0.005963029218843173,0.533203125,0.44
94,0.006161796859471278,0.533203125,0.435
95,0.00655933214072749,0.537109375,0.43
96,0.00655933214072749,0.5390625,0.425
97,0.007155635062611807,0.54296875,0.42
98,0.007751937984496124,0.544921875,0.415
99,0.008348240906380441,0.548828125,0.41
100,0.008745776187636653,0.5546875,0.405
101,0.009143311468892865,0.55859375,0.4
102,0.009739614390777182,0.56640625,0.395
103,0.010137149672033392,0.568359375,0.39
104,0.0103359173126615,0.572265625,0.385
105,0.011528523156430133,0.578125,0.38
106,0.012522361359570662,0.58203125,0.375
107,0.013317431922083085,0.5859375,0.37
108,0.014112502484595509,0.595703125,0.365
109,0.014510037765851719,0.599609375,0.36
110,0.015503875968992248,0.609375,0.355
111,0.016497714172132777,0.6171875,0.35
112,0.017094017094017096,0.625,0.345
113,0.017491552375273306,0.62890625,0.34
114,0.01828662293778573,0.634765625,0.335
115,0.019876764062810574,0.640625,0.33
116,0.020274299344066785,0.650390625,0.325
117,0.021268137547207314,0.658203125,0.32
118,0.02285827867223216,0.6640625,0.315
119,0.02385211687537269,0.669921875,0.31
120,0.02464718743788511,0.6796875,0.305
121,0.02623732856290996,0.68359375,0.3
122,0.028622540250447227,0.689453125,0.295
123,0.030212681375472072,0.6953125,0.29
124,0.032995428344265554,0.703125,0.285
125,0.0347843371099185,0.7109375,0.28
126,0.03617571059431524,0.72265625,0.275
127,0.0379646193599682,0.72265625,0.27
128,0.040946133969389786,0.7265625,0.265
129,0.04253627509441463,0.736328125,0.26
130,0.04631286026634864,0.73828125,0.255
131,0.04830053667262969,0.7421875,0.25
132,0.05068574836016696,0.75,0.245
133,0.05346849532896045,0.755859375,0.24
134,0.056847545219638244,0.76171875,0.235
135,0.06022659511031604,0.765625,0.23
136,0.06459948320413436,0.767578125,0.225
137,0.06837606837606838,0.779296875,0.22
138,0.07215265354800239,0.783203125,0.215
139,0.07692307692307693,0.787109375,0.21
140,0.08030212681375472,0.798828125,0.205
141,0.08368117670443252,0.806640625,0.2
142,0.08825283243887895,0.8125,0.195
143,0.09302325581395349,0.818359375,0.19
144,0.0967998409858875,0.828125,0.185
145,0.10355794076724309,0.83984375,0.18
146,0.10872589942357384,0.849609375,0.175
147,0.1138938580799046,0.85546875,0.17
148,0.1210494931425164,0.859375,0.165
149,0.12562114887696282,0.869140625,0.16
150,0.12939773404889685,0.873046875,0.155
151,0.1343669250645995,0.880859375,0.15
152,0.14172132776783938,0.890625,0.145
153,0.148479427549195,0.896484375,0.14
154,0.15722520373683163,0.900390625,0.135
155,0.16756112104949314,0.90625,0.13
156,0.1771019677996422,0.916015625,0.125
157,0.18445637050288213,0.91796875,0.12
158,0.19459352017491552,0.92578125,0.115
159,0.20254422580003975,0.93359375,0.11
160,0.21228384019081695,0.9375,0.105
161,0.22401113098787517,0.939453125,0.1
162,0.23792486583184258,0.947265625,0.095
163,0.2504472271914132,0.953125,0.09
164,0.26475849731663686,0.958984375,0.085
165,0.27926853508248856,0.966796875,0.08
166,0.295169946332737,0.970703125,0.075
167,0.31445040747366326,0.97265625,0.07
168,0.33671238322401115,0.9765625,0.065
169,0.3595706618962433,0.98046875,0.06
170,0.38560922281852517,0.982421875,0.055
171,0.41681574239713776,0.984375,0.05
172,0.4531902206320811,0.98828125,0.045
173,0.4949314251639833,0.98828125,0.04
174,0.5376664678990261,0.98828125,0.035
175,0.5873583780560525,0.9921875,0.03
176,0.6440071556350626,0.994140625,0.025
177,0.7094017094017094,0.994140625,0.02
178,0.7827469687934804,0.99609375,0.015
179,0.8636453985291195,0.99609375,0.01
180,0.9427549194991055,0.998046875,0.005
181,1.0,1.0,0.0
